검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수
카카오,"카카오페이, 세계 환경의 날에 제주 곶자왈 보전 기금 1000만원 전달 By Economic Review",https://news.google.com/rss/articles/CBMiakFVX3lxTFBkb2JrVlFUQ0laZkM1M3VoZmVpdDlrVk55Rl9kdTdfQl9yNkVhdDNaU3o0ZUgyM2JQY3gwT2FjMXl6VzNWRWs1MTNybTFPelpwWmpQZGpOV0FOelRMbkdYenVQY3FpVk1ERVE?oc=5,Investing.com 한국어,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 환경의 날 맞아 업사이클링 기부 및 하천 생태계 보호 활동 전개",https://news.google.com/rss/articles/CBMia0FVX3lxTE52QmdfVjBfUU1NZzl3UVQ3TU1WWHNiOUd6bU5MY0tycEFUbjN6WW82OWw0TmVUV0t6VU5FQnlnQ1dBdE1iRG5rSlJ5QklkMS1xMXhJNWQ1Y2x3bGMxWU90LWFzUUNLa0tDMmU0?oc=5,BBS불교방송,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,“멍멍이와 택시 탄다”···카카오T 펫 ‘30분 시간예약’ 정식 서비스로 전환,https://news.google.com/rss/articles/CBMickFVX3lxTE5YMTdCYldKR1dMV2tWRWUwYmJiVWlkN0xqaF9oeFluSWRQNnFWUXhjbWs0Um5oSXJBMHJFNDFfbWxxQkg1bU9lNDEwVEc1SnBPTElEWlE0T0NzRUtZdWozSjNhRTFZRjhFbmxTbmx2Ql9PUdIBdkFVX3lxTFBLV25UalJVVHRVVnRRQXR6b2w5dXF3WTF2R0pLbVNkSVZtMHhiZGRNaEI5eTFBMmFpa1hMaWJkanZOMW5ycWlqZU5nZTM5OGlyOTBodDdya2xqajllRXJqaFM3MXJwQ3ZCUHpXNUdSdnRWdmUwUHc?oc=5,시사저널e,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,[금융가 이모저모] 여의도서 방 빼는 카카오뱅크…판교로 모인다 |,https://news.google.com/rss/articles/CBMidEFVX3lxTE5zOVZzeTFET2dyTTI5cEFSdzJOb2VRdFhvQXBSRHZ0NDFNZ0lsRl9tNXJWaFAyZFVvNlFMZldWellnQWh3V3R0SzBpMnQyeE9xdEtzUWVIeVpqRG9mQlp2M043cE9aaTJSRDBwdExnNk5yQ2o5?oc=5,연합인포맥스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 환경의 날 맞아 자원순환 캠페인 전개",https://news.google.com/rss/articles/CBMiZEFVX3lxTE5EdDFJSFJOTWhvMXU1ZkZ6YjA2YkxOck1NRk5Wc01qMVRzdmhvRXpPTE5oeFJuNWdsMGhOZjlmUmgyWmVYbk5fQ1RkQTNpWkVRMnZxMy1iZXZ5aEhKanJwam5Ic2o?oc=5,서울경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 세계 환경의 날 맞아 캠페인 진행",https://news.google.com/rss/articles/CBMibkFVX3lxTE53Vk5xMmwwMElfeTNaVUwtdEZkam9Nd2tiWFJvQXVHZkxqOUUwVDBCTHNwUUVFbDI4bXpVRU1GbG9BTHdSUVdWdzkwNUozQjZBNE1RTXdlU3hnOWRZZEZ6TUUtanlJSy1xSzhtVjNR?oc=5,아시아투데이,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이, 제주 곶자왈 공유화 기금 1000만원 전달",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1KeW5mTktEcG1rMkJ4VExRV2RIQV82emFVaGNWSEVfUkpYT0Y5a1ZfSk51VnZmSTJsUnhjeG9NODIzZ0FZallob1JvX3NXdw?oc=5,전자신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"폐현수막을 재난 대응 물품으로…카카오, 환경의 날 캠페인",https://news.google.com/rss/articles/CBMiX0FVX3lxTFBDSjZXLU1XSl9NSFJTM25Cdno3LWZqQVhfblNfd2d2b3k2V1Y2NkdHa1M2QUUzUmp6RkZjQW42VVFwTDRFUUJDd3M2QncxMlh5X2hrRFA4akt6Y2dPZXFj?oc=5,뉴스1,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이지 인기 웹소설 ‘괴담출근’, 웹툰으로 재탄생 - 조선비즈",https://news.google.com/rss/articles/CBMiggFBVV95cUxQWVVXd3ZMVGpvV1NLOW14MjcyTnF2WmtYRFNwS1g1anNYYzhXX1NERHhocHVQNWVDTXF1NS1BM2xkZFNsaEdKa0hYNEI4U2lzS0ZuZWN4VjFwV1o3anRldnN6UEgzS1ZNclVLUXdhakFlamRISTk0UXNTSU12MkZGTG9n0gGWAUFVX3lxTE4yR3ZOUEttMk1wZ25WLUozcFBEeDFOWGZWY3pRV2ZYUUpWeWlHYnFPclhWVjF2dmhva2NjY2lOUzh2WTNNdmRycTEtRUhDWDZ1dDFkM3l4Vmh6S3ZWd3pySU1veTRveTBCYVIxbmpIZ0xUMjhGaDZwYmVkOUQwS1FyTWMtWDNpdWxaTXZJbGxLSjRmMGhVdw?oc=5,Chosunbiz,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,[더밸류 브리핑] 오늘의 카카오 소식...카카오뱅크· 카카오페이,https://news.google.com/rss/articles/CBMiU0FVX3lxTE54MVJQdmJueHRvdF9rQ0V1LTFyUjN0ZFZ4dEVZRWplS044SDYyMzR1WDNxWmVaRVNGMkVQcEVuaF9jYmRHNm1FZHdUUGUzckJvTjhr?oc=5,더밸류뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
