검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계
카카오,"카카오 노조, 합병 저지 무산 뒤 법원 앞 손팻말 시위",https://news.google.com/rss/articles/CBMiT0FVX3lxTE12bFlEMnU0NGFHclNTYTlGM1FmSEl3blcza0hzVlBfMjVpUnViTEJkb1JqTWhCbEp4bmY1Vi1NRGZ4NjE1eHIyMU1TX1hucUE?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,,,,
카카오,[네카오는 지금] 검색부터 쇼핑·콘텐츠까지…추석 연휴 `생활 플랫폼` 총출동,https://news.google.com/rss/articles/CBMiZEFVX3lxTE40TEthRjdrVzR0azU1RUhWUlJXYWZsMDJOaUo5cURha0pOQUh0TkVBbjEwUm1rYzJKSHJiYnNFMzF4cGJBS3FibXlud2o0LXhfUW5CSEZWYTdubGViOHZWNTg2X2M?oc=5,디지털데일리,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,
카카오,카카오모빌리티 ADR도 막힌다…카카오 '분할 전 주주가치' 방어 나섰나,https://news.google.com/rss/articles/CBMiT0FVX3lxTFByY3VtX01vZUdUaW1XVFZJb1pJLThqWktNVHhIU3hoQ2U5MmVzbTh4ejl5cWVaYkRibDZlenprSERPWk5fcC1WLXFjakhfUTg?oc=5,v.daum.net,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,'SM엔터 주가조작' 카카오 김범수 2심서 징역 15년 구형,https://news.google.com/rss/articles/CBMid0FVX3lxTE5oZld3R2JmU1R2d01sT1Z1dWJLeV9NMENYRW95U0FjQ0dsOGhDRThWcjJWU3BEUGIzb1NVcDVtSEdaSE9IdjB6MEQ0ZGhHUjRndWVvNEtWbm51emU2VXI3and5NDNHQVFCcE5oU3RmQzhSOWZKWWdn0gF3QVVfeXFMTXJ5bzc0TExZQndzeWVBdk92TXNDeHR4dFJrbTctOHRISW5RSlJ0Vlp2V0IzMWMtZndUbGphcGRGdmdiNjVWRW9fenNKb0pERWREX1VZWW9LcXBIcGdhN0pJYVlQakdNV3RYSnFTMTVNRVlhSFRoUzQ?oc=5,MBC 뉴스,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"'SM주가조작' 카카오 김범수 2심서 징역 15년 구형…""무죄 파기""",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1udDExWGd6MUJuOXBkcnE5R3JjTUUyU1JvakVtV3BLTHg4eks0Zk5uUzlnQ2oyakhTMGxnTVhhQ3JxRTJRRHlDcHJPSFNvT1pXZC1zazQ3WGQ2ZVnSAWBBVV95cUxPeFJZN3o2Q05sZk43VWl3aUtwLTlZLXJKdEx6YlEzT3F5a3VyMzdNSGpibnBSSlpnSVNQTWRQWHViRzczSEEtTGVFalJhYnRMT3NTRTl5MWVrLXhyUVpheEY?oc=5,연합뉴스,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"[포토] 카카오·그랩, 디지털 자산 협약",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5uWnEtT1F6VjFDbm5xbm9IeWxPQTNMSTZlRGRrblFDVWNyVG9KYW92dmVjaVhVZVNCMDQ2djNlX2p0aF9FeDZjSmRXc2xxeHpNSVA1dTRxazNXdw?oc=5,한국경제,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,
카카오,"[속보] 檢, ‘SM 주가조작 의혹’ 카카오 김범수에 2심서 징역 15년 구형 - 조선비즈",https://news.google.com/rss/articles/CBMigwFBVV95cUxPTHd0M01GLVE5VGt0REcwenoxamY0d0hGZS1yYWZTWUkxd19rZU9abzlNOGIwdHg4X0NYekZsRWJNV1hsOG52ZFFaZHI4UTNYbkxWRnU5a0MyenRsMmgtV1dKSG4zNWpsR0pMZzBFeFhKUDBMQnFDQ0RkajA1TXRvN01PMNIBlwFBVV95cUxPN3lwblZCMVlwQXVpYkRqSlRncGtxLXRFUnlKMUlkVk5YRnV5T1JIMWpXTVlxVzlqV3BDVVpRQ19QbG5pUm1wX1l4bVUyV3p4dGtsVWZLTDh4dGJhdllqZXZaaU1PdkdXRlNpR2k2TWdlMUZRRHBCalBQN1doWmhZb2lTRFlHdUhCbGYzaDNNczZzaERfV2xV?oc=5,Chosunbiz,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"""지금 얼마나 막히지?"" 추석 귀성길 CCTV로 직접 확인한다",https://news.google.com/rss/articles/CBMie0FVX3lxTE5nSE16S20zTVRrWDBUTHBhTms2Q2JRaTNiQlVGRkszbTVBazZxblVGWDBuMjdNekEySWc3YVg1dUhaeEVJNjZNam9wUUZfX05JdkN2bDM0UE8yenl4UFo1M2VPbm9weHZ4NUZHTS1MYV9zckhkSndiclYtVdIBe0FVX3lxTE5nSE16S20zTVRrWDBUTHBhTms2Q2JRaTNiQlVGRkszbTVBazZxblVGWDBuMjdNekEySWc3YVg1dUhaeEVJNjZNam9wUUZfX05JdkN2bDM0UE8yenl4UFo1M2VPbm9weHZ4NUZHTS1MYV9zckhkSndiclYtVQ?oc=5,digitalchosun.dizzo.com,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,
카카오,"카카오 노조, 합병 저지 무산 뒤 법원 앞 피켓시위",https://news.google.com/rss/articles/CBMiVEFVX3lxTFBRREp1bjR6b21HYzQ3R1J1aUM4QzZpVl9qb3UtV2prVEhZN2FkaTBYNEcydHR2Y2hEcXlKbnlqM0pzYkFoNVk4ak41OWhna3QybTlJVg?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,near_duplicate_same_press:0.89,,,,,,,,,
카카오,"카카오 노조, 합병 저지 무산 뒤 법원 앞 피켓시위",https://news.google.com/rss/articles/CBMiRkFVX3lxTFBkQmRhMWxJd1F0U3h1YUJuY3VzSU90VDhOTkJ3ZHhRblNfQm04UUsxTW5rbUg3UVd2Vk9ORV9veHp0NmxRekE?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,near_duplicate_same_press:0.89,,,,,,,,,
