검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,"카카오 라이언, 삼성라이온즈 협업 상품 잇단 품절…워터페스티벌 참여",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1jT01Pd3AyV1pLRUhmWHVXNlJFWVVvaVMwUTZRbnZ0SURTalM0MXN4TzFPNXJ0dmtHNzhzeWJHd1dTMFA1Q0dlRnlqUVhWdw?oc=5,전자신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오게임즈, '아키에이지 S' 글로벌 출시 준비 마쳤다",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1Vd19YVm8zcDNudWlVQVp3NG15bWc2UW1MZExXeEhTU253SmhFQUhhNFJXR3VsNUFCcWdEZUVTYXJhMGh1YWNHMWNMRDAtd3dLcE9Jb0ZCZGhjRkpLNkxXWGFscDZHSHRn?oc=5,비즈워치,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오모빌, 중학생 AI 실습 캠프 진행…미래 AI 인재 육성",https://news.google.com/rss/articles/CBMicEFVX3lxTE05MzhtWHdRUk5vUjZzWWpoRHc0Q2w4bW9JWjFOU2ZsMklZN3VpdWRyR0pTaG9tZEU2OTdFODc4cDFEVU96VUh6R25nTTJtUUlacEJXcks5ZUVhZkYyenRBWGlIdk1qN2JyZ05ETVhqcTc?oc=5,신아일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오뱅크, 첫 파업 현실화…‘윤호영 대표’ 리더십 시험대",https://news.google.com/rss/articles/CBMib0FVX3lxTE9TMHUtM0xobUtyaTE5U0hUUG5WLUFySDNSV0x0aDAtQ3gxVGNvTFFOaFJ5X0ZXNDc0ZTVqMFE4dXI0bEhSaklqR09IZkpTMnZQUEZXam9CSG5zN0ZlSXJ5UGR5d3JoQkdrYlItejhEYw?oc=5,뉴스톱,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[현장] 카카오뱅크 노조 첫 파업…""조합원 700명 이상 업무 이탈""",https://news.google.com/rss/articles/CBMibkFVX3lxTE45Q1lIbkpFVm9FbXNPSndOWEIxUGhweXFBRWprWm81MG8taEpUU2QwbVc5QnNITkpyUTdWWXAyUjFuNDZrNFdPR2pJbG9lc0hwanlQMElzdnljTDBEVmVyUDdKUHRDN0Y5aVMySDV3?oc=5,알파경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오뱅크, 신용대출 비교 고객 금리 낮춘다…최대 0.5%p",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE85bENFenZIMGpNLUFBYTFheS02SFR6aXROTUV5ZWgwUDZxM05Ec2JZbzNMRE9aSDlOT3Y2ZHBQR3dtTGRqTUVkRTNIcFNoYjhmcWZhTDB5V1AzNThnTEJmRkdpSE1SeFU?oc=5,팍스경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오뱅크, 신용대출 비교 고객 금리 최대 0.5%p 낮춘다",https://news.google.com/rss/articles/CBMickFVX3lxTFB4cm1nVGdSNkh2NndObklMdEJ4c2VmSHQ0WDFPTGFjcjlxYUJUM09KV0VHRzJkOUZwREs4UUdjUEtSWHZZM0RPRGRlSTNMZUNtdFY4Q3hydXQtZklveFBCVGRCN2IyMUdYczdYOGwtQlRZZw?oc=5,인더스트리뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오뱅크, 신용대출 우대금리 확대",https://news.google.com/rss/articles/CBMia0FVX3lxTE9JeUlhNVdUdVZhaXRqUVZjMVczb1FPS1FRUS15enNuNFFQd3ZoZGZUbzdoX215V0FHZDFHQXJhQkxvVDE4QVQ1R2dVaGFkNEdMYUZpVGFDV0hyUlM1QUgwejNNSThZNUxqaWtn0gFrQVVfeXFMT0l5SWE1V1R1VmFpdGpRVmMxVzNvUU9LUVFRLXl6c240UVB3dmhkZlRvN2hfbXlXQUdkMUdBcmFCTG9UMThBVDVHZ1VoYWQ0R0xhRmlUYUNXSHJSUzVBSDB6M01JOFk1TGppa2c?oc=5,현대경제신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 삼성라이온즈 워터페스티벌서 라이언 협업 이벤트 진행",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1BeE9BdnMwb3BWbEpaZ0xmb2xWUERuTmtLa2NxS2R1OE83UGJNRTBwT05HVVR1bGRvT3E0d1gxQW1rQ0hxV1B3WFFaNFM3dC0xWlFrUXVLeDVCVTNmQXRGNmVjMVFfQkc1?oc=5,fetv.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오게임즈, '아키에이지 S: 자유의 해협' 퍼블리싱",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5ZSV9fTXRzaWFhMG94TXhPcjMtNEVCem1PSDVSang0VlJjUjYxMExqSjJfdWZrN3FUZ2xqSlRBcnhuRWd2cDFHNUdKOC0tMzJvbno0emlRRUZFM3fSAWBBVV95cUxOcENUTmV6MnJqUDdTejEyc0VDTVByUTZtQm4zOG84cFJUMWFlcV9xRnY0Rm1EeklMaUpnY2p3V1BBVGNZeEQwdDMxUTY0Tll2UVhVanVsTi1rVTdZRjdLRE4?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
