검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수
카카오,"카카오, 오늘 10시 창사 이래 '첫 파업' 돌입…막판 교섭 결렬",https://news.google.com/rss/articles/CBMicEFVX3lxTE1mazV2bXZJNm1xeEUxQ04td0RtS250Y2FUMmZwTjUwTWlqaGJiZVJyQzdnbms4UXhUTGp3c25uVzdzS0d3T2VNblRZMmx3bktMcHc0S2JZZ0dXMFpHdkdtQVF2SkQyOU9TbjZ3a1MtRVM?oc=5,신아일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 내일 오전 10시 창사 후 첫 파업…사측 ""대응체계 마련""",https://news.google.com/rss/articles/CBMiW0FVX3lxTE43VlRLbGM2aUNEWjJqNWdQSzlnVHo4RFBDTTlMVmxudEJjM2lJYTB0dGN4Q1h3Xy1MUmhUanFma1J6M3RmYi1jQnNYMk9KcmtUTVBPZEdzQUJFekXSAWBBVV95cUxQU3hVRUttWTZLTmJCb1NfWGY0QU11aVZ4d0dVWmtDbVRSVkc1SURjSjYxWHdsZ0lBYzIxRUYtSlVXNlc0UjB5dzZxME5qNnRkVXp4QjUwcXBKTjJyWVFpaHA?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"[속보]""카톡 멈추진 않겠지""...카카오, 오늘 창사 첫 파업",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBYQTJNNDZia0tlQXNXZnd1UW5DTTJGOWlpMnQ2eWs4M0cydDBSZ2J6dUg3M3ZvMlBrWXlZRndzR3dPQ1hRdXJIczZxNFhqcms?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 오늘 10시부터 부분파업…창사 후 처음",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBsSDBaamJRak9LRWJhLWVFNnl1b3R6MTlOZDNfTlFOckFIZG9IdVZWRWR0ay1yWmh2UjlKUTNxS3pmUVN5SmkwYWFyT2ZHUFQzUDJqMDl0QW0tdjJPR0JLanVaNTgzMVE?oc=5,연합뉴스TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,카카오 오늘 창사 첫 파업…노조 600명 판교 행진한다,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBjSWFNcVNxX05TWVI2MDdmU1dCMndSZW12bEhTYlV2d2ZDaFU3VmJDeXFtY0g1cWRYMGxUUG1HY2pLeG15VTZyd3g4a0M5dWYtTjhneGJUeE5jUdIBX0FVX3lxTE96Tm5ZZUpsMjhPUlQxTGtsMUczQkdSMWJibXNLdnhJNENJaTlRNk16Q2tsUDFWOFlGVmxVQkQ0cDFCM1pKRjRGTTh5MmZxQlMzZi1qa0hXaFhsQk9leWJj?oc=5,경향신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,카카오 오늘 창사 첫 파업…노조 600명 판교 행진,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBCUS1sQnFFMXpSck1HLVNkX2FyQjh4d2kwb1I3bld2SDRGSE1qSXI2UHpLLVVoNDRPbTRUZ3NPVnRpbEtPazl2YVdWaW1DUHc?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"국민 메신저 멈출까…카카오 노조, 부분파업 돌입",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9PUjA3eVd5VlI5UUFlSERGeDAyYVNlVndhZHJaRmhwVDI5YTloMmo4bXl1RHBKYlJnYWF6dDBnMmdjV2lRWFppcm1ZdzdkMzQ?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,카카오 10일 창사 이래 첫 파업…조합원 600명 판교 본사 인근 행진,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1XVTF6c3dsZUdGS294X3JrUFBTVmd4QWw3ZkRvTEJjVlNaUjVYS2EwNk5vcHNiNzIxX0dHY2lWZWJBcmNkM2VOWW83c0xraVk?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 오늘 창사 후 첫 파업…사측 ""대응체계 마련""",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5aa0k0Ri1najlQd0laUEptcXhYWTd4ZW9ab3MwUGZLRDBuTXlVbmZKZWRyZmZ1X2FNTnI0dlh4ZUliaDFHcGgyRlQxUTRyYm8?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 오늘 창사 첫 파업…판교서 노조원 600명 행진",https://news.google.com/rss/articles/CBMibEFVX3lxTFBoRThzZkdraEhyMnRfektIdS1lZUNibWFBSHl3NHREeVN6THhLZnVTUlV3UGR5clJrdnpfdzJndXhWUW1lN3RZbmc0WDc0TG90QzRpU3BRZjd6YmdJTU12RkNITWx3bUNUQVlWcw?oc=5,중소기업신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오뱅크, ‘AI Native Bank’로 진화 [금융혁신]",https://news.google.com/rss/articles/CBMia0FVX3lxTE4tRnpmRUhiRkZiT09fY2lCbDZPQjY5Vl9yVkVuajY3OVEtck5VYnluSWVoZXl3RC1xazdPYkg0dTRtWlAyNmstbEVGNGx2WnNSaGZia1FxdXppcFBPaUMtUmdvSkFVQmVuM0FN?oc=5,sisaon.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 창사 첫 파업 돌입…판교서 600명 규모 행진",https://news.google.com/rss/articles/CBMiZEFVX3lxTE5ENXJhVjN5dnZIUVFSTkVrY1Nma0ppNTFwR0lqcy1uZm8tOGJ5N2p5NjhoQ2F0c0VFNFBmNlBoalkxOU9IRjVBYkJEZ01OazBlYWZ4RlVGRXFVLXQ0bklWaDlqblE?oc=5,서울경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"'창사 이래 첫 파업' 카카오, 3%대 약세[핫종목]",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9MUVdIay12UTJhcmEwMjh5UHlEeFhyanlHd3k4M3c0THZHM3Z0OVdiaUdYbEp3M0EzR0hOVGstcVJ6ckxvaGxuTFJhSkRLdDNxbjZqQy1tS2FxQ2M?oc=5,뉴스1,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,카카오 창사 첫 파업 시작…성과급·RSU 놓고 노사 정면충돌,https://news.google.com/rss/articles/CBMib0FVX3lxTE1EQ2NRdHNUWm9zRXdGTC1yTFZZN1NzMUhlYzRiclpBVTVKY0RTWVM1dDJLX3lTQjA1WUJ1QzFnMjJVS3J6c1pFMFEtNXFzY1N4ajVlOVNTUDhKeXdFNnF6b3BYeEZsQWtZbERZZ0N3TdIBc0FVX3lxTE0zc1ZLc01zdWNmUkNmbWpiUGJWalBBeEl1SmROSEJqaVBxaTgwZWpKcGhGWlVONDdpQTFiQlBOSmo3T0wwMWQ5ZWZYOVRwTG5tQ3NlcEFObE02dE9kaHRnZHZocW5aWklSM3FTM01sSzlXMEk?oc=5,뉴스웍스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,삼성전자도 안했는데…카카오 오늘 첫 파업,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9GN0NIbEIxZGlxb2FpMEJjSEc0eHc5VXpEV3gtVUxRSEN6QXZXMzM0VTBBWnNUM2RrUV9TNlBTd3V6Y3Z5M0s1c2Fxc0RGVG02VHFHeNIBVEFVX3lxTE9GN0NIbEIxZGlxb2FpMEJjSEc0eHc5VXpEV3gtVUxRSEN6QXZXMzM0VTBBWnNUM2RrUV9TNlBTd3V6Y3Z5M0s1c2Fxc0RGVG02VHFHeA?oc=5,한국경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오 노조, 오늘 창사 이래 첫 부분 파업 돌입",https://news.google.com/rss/articles/CBMiXkFVX3lxTE9VNFhubDBMeGZ2cV9nLVBoTkpxWlJaR0gxcnBoQlFLdlZEbUhIeTNhSDhzRUlFTU9yMFd2U19YdGxzZ1FjRUt6RjNkazc4X0VLNXIzYXZnZmdkblc5eUE?oc=5,YTN,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오 노조, 창사 첫 파업…성과급 갈등에 노사 충돌",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9NdW81RVJtazhtZDV0NGRsa1ZmTkt2cGVqNGVpbk1zeDduREhuVWtLdFVQVnNIa1BpbUJfa3pYRVdmcUFuWjZVNWVKeXE1bjN0RHllUk4yamdybTY5?oc=5,뉴스핌,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오뱅크 AI, 출시 1년 만에 이용자 500만 명 돌파",https://news.google.com/rss/articles/CBMibkFVX3lxTFAyMmJWMG9hcTFlQXJBYlNnb2cxUzkyRnU4Y00zd2p6a1p4ZnNqVTEwYm9HSW9wLUNObmd0YWIwVTJDTlBERVBrZWlxNnFBVkh4SjFJZWsyZkdMVVk5b2FRdzVfYzdNZWh2bU1oZnVR?oc=5,뉴스후플러스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오 노조, 오늘 10시부터 창사 이래 첫 파업…사측 “서비스 안정 최선”",https://news.google.com/rss/articles/CBMiY0FVX3lxTE5oNHY3ejUyZXJySl81RHRCSHRMZW1ndjRPZW1Lb1pCS1FVT0xtQnVwUGtIZURCR1YwY2hkenNBcHRSNjNON2d2bGNvMU9rVGNBN20xMG01aG56Q3NCS01Za1RvMA?oc=5,쿠키뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
