검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수
카카오,"[특징주] 카카오, 5% 급락해 1년 중 최저가 - 조선비즈",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOTVh4NERIT1QxS3h5RFlBbFZVd25lLUJhb0NHRDVScVlOZ0g1TmpIc3BRS2tOdG1OdW9XRURXRl9iams4bGI3cW90SXQ1NmZrX1ZxLTQwWEg5ZjNqRTRNbE0xa0VvVE1zeVFZYVEwcnNUQmdGUE80eldBY2l4bUk1aUtVWU5OUElC0gGcAUFVX3lxTE5QejI4VUxDbzFLWjNFN001ZVIxZFRwS2R3LS1zUE96MnJPMzVObFhCSHFtdDB0UVl4Q3R0LUh4TjV5eFJ3T1NhU2pfNGs3NXlXa3JBZEFpVWNPd3pyekJyMFdNOXNaRVh3R0s0Z0J0cVlsNXlWZXp2aHBGX3owX1dLZkprUWJwejJscjVBb2NEdTVDWF92dEhvdno5OA?oc=5,Chosunbiz,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,
카카오,"[특징주] 카카오, 5%대 급락…1년 중 최저가",https://news.google.com/rss/articles/CBMiWkFVX3lxTFBDRElfbmhaQnFQRzIxUGlHQUxFbjMwSTNCdWxlWlA0aUh5ckh4Y2lsYnNQN0Y3Y1N6U0R2OURJNFRacUVHZTFpT2Q3eG1iN2ZINHNQNE5xT1d5Z9IBWEFVX3lxTE9tYzFUVmFBRzdfTG1razZMZm03UkI5MS1qeFdLOTNDUGg0NFItdWllaXcweXRFOTA4Qll4VFVUbm5kU0lQalMtTGJZU1ZaM1FtV2llVXhLcGY?oc=5,아주경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,
카카오,"[특징주]카카오, 5%대 급락하며 52주 신저가 추락… 투자자 평균 수익률 ‘반토막’",https://news.google.com/rss/articles/CBMibEFVX3lxTE1lWVRoS2haaWtKZXVHMFlLdERkZC1XcDc1M3JUSHdWb2thRkRZcnFZYjlEcjRNZkhPNUtnSWlfUHAzOV9uVHJxQ1k4cWMxYnJEd2hxNXJObk5XUlRsT3Aydm1BZG1MSmpXM1kwcNIBcEFVX3lxTE5hRXhMc09ldjJPUWduUWo0R2JmOGdNcGViR05qc1JPTm9EWlY1TUJ5b2tlaVFiM3ltNS1MdzBHbzBxaWJrbVRxWEFfVVZBckwzTVJiT1RyU3JzbTh0aTZmU0VmMDE5NjRzcTZKVGlXUzU?oc=5,남도일보,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,
카카오,"카카오 주가, 6월 8일 장중 38,200원 5.09% 하락",https://news.google.com/rss/articles/CBMickFVX3lxTE9IajVEWkdjTjVZVEVBUC1tYlBoMjRkUWs4TEtOVHJsYTZxVzhNUTlVNkY4WWFDYlo0TGFpamhvSUhIbi05MVQ5LUZlbmlkWGZ3UDJ1UGFVTkRiaFcySThzMmMyMktZWFpJb1JTblhJVmxRZw?oc=5,TopStarNews,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,
카카오,"05일 코스닥 시장 공매도 비중 상위 종목. 카카오게임즈, 솔브레인 등 - 조선비즈",https://news.google.com/rss/articles/CBMigwFBVV95cUxPS2lZRDJJaVlIODZtMl8yMlhqVHczWTNtdWc5cEk0bmh5UmxNcEUyLXlFZktQdi13Y25mQ2NicllBM2J4NjB1T25rMFRaTUNHeWEwVVBYOFR1VGF4QmJ4WnBnbVM3UWhHZk9FVTNJbDhJUG9fODVOc2VVaVNYWUtuTVFMc9IBlwFBVV95cUxOQTY1NEpXRWVVQ0s4U3M1ZjEweGk4T0J0WTMwdy1uTWw4VGE1Z3RsbzY3bDdSVlZkbmRBOVREWjZXYzhnWlE3RVgxNUprRU4tRE0yQ3lLOWVUUjVISzlHOE5ZWkFTczlMdTBRcWF3d0tabVpIaXQ3bFhOamZueFdOcDZ4bVRDbzFiUjc5cWRHX2Z6MHpPTjVj?oc=5,Chosunbiz,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,
카카오,Kakao CEO Jeong Shin-a Faces First Major Crisis as Labor Union Plans Strike,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBXM3FXMXpubHgzMnZpSVluN1pTYmxHZkIxMVRyRDI3TnozMlRTZTRLMlZTWm1HUmJCWnhDOG91Skk0Vll2M0pLN3VYeE1xVTZBWHcyV3lRQ05pRWs4ZUHSAW5BVV95cUxQNlVNS0k3LW85c2o1cGhVQ2dYQzBDdTZmM0p1eUtxOEZZcndnVUdJVVNIYjliS1hTcEMzMTk5SjVRZ0dGaHhmTDJpdFRPTkViWTdSY1RMcWlZVEVWWVZiTDVmUHNTbXRDeW50andCUQ?oc=5,알파경제,COLLECTION_FILTER,,,collection_relevance:foreign_low_value,,,,,,
카카오,라인야후 품에 안긴 카카오게임즈…새 경영진 꾸리고 반등 노린다,https://news.google.com/rss/articles/CBMiRkFVX3lxTE9ncFNTVXFCNTRvdXZWUUpqd3FPV0k4eWlCU2RWSjlOTENTcVk2MUJZLUhOdkxwYVpfdTloS1FpQkFyZFRZRXc?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,
카카오,月 250만원까지 넣을 수 있는 통장… 압류 못한다,https://news.google.com/rss/articles/CBMigAFBVV95cUxOUnZsVE9CaE1icGxWUmxCeEVlWEZ2RFNzWG9KS3FRY1NZT0NYSTltUV9hckUyMTVlSmVFb20wTDB1eDFPV2hIWmtXZ2tFam9FbFl2bGk1VHpHVkEtcFFYUjREX3dlZ3ZvQVFWQzZudXM2SGlaLVJCam5CeWxhTDNCMA?oc=5,조선일보,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,
카카오,30화 현대 초콜릿의 미래,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5IaGVrZmcyX1kwOXJUeFMwcDhuYURsRV8zVHVOZl8xYUxXLWZzY1V6NUNpTHlKU3FyLVBZV1EwMnYySmhabHZYd2xPSWd4TWhkWXNZ?oc=5,브런치,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,
카카오,Kakao CEO Jeong Shin-a Faces First Major Crisis as Labor Union Plans Strike,https://news.google.com/rss/articles/CBMieEFVX3lxTFBpWVBDZUNjU0ZYN1lHX2tjazVFWFRtY3VFbUs2SVlvQ3JneURnQ1BLbUhlb1hhaFNHU0UwUkwwTUN4NTBMU29KckR6NTlTM1ItWlB2NDhTalNaRzVkVmhSWEJPUEExeVp2aWkyNEdNRE5aclo5Rkc2Zw?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:foreign_low_value,,,,,,
