검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,"카카오, 청년 대상 지속가능경영 교육 'ESG 아카데미' 3기 성료",https://news.google.com/rss/articles/CBMiVEFVX3lxTE1LTXRmcWdidzRGcnpqaktwVVNlbGY1bFYzbGI3QWFKR0c3U2tsNVhFbFFrb1d0a29vQTMxZWgxb2lidlNwYUV3RnR5dGRiZjVGNllmYg?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,,,,,,,,
카카오,"NHN, 전자결제 상장기업 브랜드평판 7월 빅데이터 1위...카카오페이 뒤이어",https://news.google.com/rss/articles/CBMifEFVX3lxTFB6VlFJMUQxa1RqZERPeGNRWE9xLXoxMlRhMmlaWWs2bVY5TF9WM0M2Y3ZyWmxhM1ZIVjJsbmc5Q2t3WDNoYjNlaTY4cW1Laml6ZDh5bFZySW0yMldSOXZIZ1ItTFdIekdZcXdFY2pUNDFldUk5elNtNGFvSkM?oc=5,thebigdata.co.kr,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_low_value_ranking_article,,,,,,,,,,,,,
카카오,카카오 주가 하락 중,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1uQU4tTXVJZHd4elpoa0NVQi1YRUVCNkdkX0tKelBfMzJHOHdGb2I4RktfVWozSVl2a0hPdlJwM255Rm5lNzdNSWNDcEhmOGFYb2I1UGJOVUp0cmRN?oc=5,아시아뉴스통신,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오 노사, 임금협상 잠정합의…최종타결 ’눈앞’",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE8wNDZOdGtRREhGRDVyZFZhdllBeU9tYWxqQ19HUG1oYTU3Y0E4cWpoejZ1WlZDdlVPTkp6MHJSemI4b21SczdjY1I3MXJGSTF3azBqd0dWS0RjVnhGenlBdmcxa0dVZEE?oc=5,연합뉴스TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오뱅크 노조 첫 파업 돌입,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1TR2JoM3ZPaUtNSmo5bmdKb2ZmclZGWWxxc2tRRUV0SW9sYTFGTlZqcnh0Mjc3Yk1jc1NWS1hwa2dwMURxdFI3bW15ZE5wcTFaUTF2QWU3VHFJM240YzhJWQ?oc=5,아시아경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,나란히 최대 실적 전망… 네이버는 투자·카카오는 절감,https://news.google.com/rss/articles/CBMidEFVX3lxTE1JdHlpWlFwOVBUUjBXbnZXdENmbGNZX1AxZURRa1NidnRFNXVkb0ZfSWNETVVWSG9Rc3NBTTBTVDdMaERweDBNaXgwVFd0cEdoNkY4dnpkNWJuRTZCVTl2RkNXZmx6WW51X21Cang3SEQ0bWZW0gF0QVVfeXFMTUl0eWlaUXA5UFRSMFdudld0Q2ZsY1lfUDFlRFFrU2J2dEU1dWRvRl9JY0RNVVZIb1Fzc0FNMFNUN0xoRHB4ME1peDBUV3RwR2g2Rjh2emQ1Ym5FNkJVOXZGQ1dmbHpZbnVfbUJqeDdIRDRtZlY?oc=5,IT조선,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오뱅크 노조 파업 돌입…“700명 이상 참여”,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9iVmxlR1Y5RG5WSDhZR0M5RzZFeDBtRjVnNE5TUlZLRG11TGhWMWRBb24tOXRJSHVFUTg3cE40eEdBeGZBN0dudjFqWUR0THFHVTNyN2I4U3FJLW8wV3pGYm9PUHU?oc=5,서울경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오뱅크 노조 첫 파업 돌입...조합원 700명 이상 참여,https://news.google.com/rss/articles/CBMiT0FVX3lxTE0wWUx6Wlo0Q0l3SUVlUFNKT1h1UEg0QzFCLTl5YlRUaktfVlZWZnMtcXNPcjlQOTNGbDhJaUdUVkFGWlNabS1La0pHbUtBZnM?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"퀸즈코퍼레이션, 카카오와 맞손… 소상공인 마케팅 문턱 낮춘다",https://news.google.com/rss/articles/CBMidkFVX3lxTE5DTDE1MFU1M3RHeHdmeU5taVpLQTFENC1LUHpUUkg2WFRlNUVFTURlUDBwRVkwdnhrc1NlaTZKUk1zeERrT242MVhzcXA4TDB1WnF1MC1WY3NqNFluQUVWOWN0M2l3dDVJeWZlc3B3cmVBS0RVYnfSAWZBVV95cUxNRlV4VXpnMExubUo5TnZlMy0tZ012N0hEQk1NVjBBYjRSbVM0a1NqckxTRWtwcFFNUk9pMm9aaXllTWNlNWJHWFZ5Y3d1c3ZtWnUyVHdEY2RqanhrdVhJWk9aM3g4ZkE?oc=5,동아일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오페이손해보험, 펫보험 1만건 돌파",https://news.google.com/rss/articles/CBMia0FVX3lxTE95OWF6NDc0VWRZczdhM0R5SkR1OWpncmZsU2tjSTRVQ05hcEJGTXA5QTVVekJZQmktN2tYMkFVMlVKajRKU3dCREw0ZS1kVHFDeHNDdGg3d09UOUhTUlVPQXFFaVd3ckhDaC1J?oc=5,보험신보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오게임즈 신작 `도깨비의세계`, 10월 서비스 확정",https://news.google.com/rss/articles/CBMiYkFVX3lxTFBjOW15S3pxT2dUVXlHT01qdDRfbkQ0ZDZJVWhPdnhqekY4UHFhSXJTLU5mQ1NYcGlzdUk0M0tpRWhjdUtsVDJjcDVsaS1uRDF2TEJZS25hZ3BtMkhiNkF0ZUt3?oc=5,디지털데일리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 청년 대상 지속가능경영 교육 ‘ESG 아카데미’ 3기 성료",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBHRlREMUtxb1RNX2NQTUF6bkI2cXptNlh6VVhfVWJicjgwaXFFYmVaZnJfaFBRNDdjdHBTNXN0cGlobTBDQzRocEZ2eGVDZDRBMENRWXNB?oc=5,카카오,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,2027 충청 유니버시아드 마스코트 카카오톡 이모티콘 무료 배포,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBRUnd1MjQyakxiam1KMWt5eURIdmNybFNCLXFJN09NN1l5WjlCX1ZwNzRQMVVxSHVqNVdTYlpWbkFhWDhtN0FzdXdyRTAzNEF1MGZ0aXRjQ19IZTNOQkhmMUVrOUo0ZTRV?oc=5,2news.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오게임즈, 신작 2.5D MMORPG '도깨비의세계' 10월 출시",https://news.google.com/rss/articles/CBMiVkFVX3lxTE1HanBxalN4amxxOVpwYkk1emZKbTNjUF9BWlFoMk8wc0NJemx2R2M2VzcyNGlOVjdVMXlCSzBIRzJLYXh1WWFOd3BMc1kxT3JnRzFuNm5R?oc=5,지디넷코리아,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오뱅크, 인뱅 첫 ‘전일 파업’ 돌입",https://news.google.com/rss/articles/CBMiVkFVX3lxTE5odVpfUFpkd2pRSjFsdlRkQjFVdzZNQ2RwXy1wX1FaVXBEMzdWQ1VkNlRLbFFpZGMwQXlVVDA1MGk1SUcybFZyMkRTazZzVXgzdkJTeGJn?oc=5,헤럴드경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
