검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계,원문날짜,날짜검증결과,v20_issue_id,v20_issue_group
카카오,"끝없는 주가 추락…카카오페이, 美 클래리티법 불발에 6%대 급락",https://news.google.com/rss/articles/CBMiT0FVX3lxTE85UDBiUHZuTUIwdnhTTUJiaU9fRFRVVlhqZTRmbkI2bV9fM1ZoWHRwVEpEQWNoSGlaa0ZNVkZ4RnVjZlJtX3JLYlhjQm9SRVU?oc=5,v.daum.net,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"""해외 골프장에 손님 다 뺏겼는데""…지방 골프장의 놀라운 반전",https://news.google.com/rss/articles/CBMiWkFVX3lxTFA0NkVadlhONjkxS250R1I0a2NBRmhDOUZEZ0FPTzYwVUdOUWdlRnhpNjl1dVdTMWxKYk9JeVNPVzFBZF96cGpUNEVSTVFBYlBJN0liVHZxcnVRdw?oc=5,한국경제,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,[특징주] 美 '클래리티법' 좌초⋯카카오페이·다날·헥토파이낸셜 급락,https://news.google.com/rss/articles/CBMiS0FVX3lxTE83ZVR4SkdqTHZ4dTd2RV9WTjhscXJzaVlsdmN1SGVLSE0tX0RiMUZhUEJuWm9rZXpwVFVGdjVBVjM0blZIcWJtZFRXYw?oc=5,inews24.com,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,'투자회사 편입'…먹거리 찾기 나선 송호근,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5VclYtSUh0VjVBc2hvS1g5dXBVVzdnNGVaRjhhQkhRMm4zSXEzcXc5SFVZOWtQTGczRXVwVTJZOTM0LW9tNG54dDFyTHh0STR6S20zc1Jn?oc=5,DealSite경제TV,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"끝없는 주가 추락…카카오페이, 美 클래리티법 불발에 6%대 급락",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5XTV9ETlRFS216ZDF4S285cy12d0QyTDZ5M3VsZGFheGYwNW1rcVplNVdPVktSTWN5Y3NIbnVFQVJ0b19YcjlNRmlQQlJPbHFaTW1hbGtzNmprZ9IBVEFVX3lxTE1VQUJUQ1lwaG5ZTXJtT1hQRl9Yc1QwLU5vRzBBck04bFlNYmIxXzYwR2E2QzdNQkRxSFZVbXNxWXA2Y3RqSW5ERDl5N3lEa29kM21xag?oc=5,news.tf.co.kr,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"AI가 골프장 그린피 정한다…카카오 VX, 변동가격제 확대",https://news.google.com/rss/articles/CBMiTkFVX3lxTE5FcUdkM2p6RkJBNk4za09razNrR0hWdjVWZ3Z3Qjl4dmdKV3NlX2pUU3BhM2xjS3FEcEt0Vm5jQ3BGSl80OS1TeVNoMFRlQQ?oc=5,전자신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,[특징주] '카카오게임즈에 피인수' 미투온 상한가,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1IOE1WU1B2R1RsQnl4VWdrTWpoeFFDQ2Z4SEFkWG9taWVoTkZqWGV1ekpmRUdVYTdTTWQtTXlWV1o1YjJRRHBuNEVCNGdpZjJjeXVlVjRKNXBBSHkwSU1SR9IBYEFVX3lxTE1IOE1WU1B2R1RsQnl4VWdrTWpoeFFDQ2Z4SEFkWG9taWVoTkZqWGV1ekpmRUdVYTdTTWQtTXlWV1o1YjJRRHBuNEVCNGdpZjJjeXVlVjRKNXBBSHkwSU1SRw?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 안전한 디지털 환경 조성 위한 ‘2026 아동·청소년 온라인 안전 포럼’ 개최",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBjc0hMNDZUdXpJazNoRF9ZOEtjV1lXeFprQzRMMnAtUjl3OExueXJlRURUcFBqRTV4bW1CTHdGSlhqcEpKS3pBMm16cmp0WE56MXF2cjlR?oc=5,카카오,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오맵서 연안여객선 위치 실시간으로 본다…99개 노선 ‘초정밀 서비스’,https://news.google.com/rss/articles/CBMia0FVX3lxTE9ZZHR5Z214REdhLWVkelhZd1lVMGdoeUxVQ3RQVHBNNnZIWXBvUmJ5aXZ0NkY3TjJ3Y3dSazRMeGRVVFlqd0JpMC1Ickx5eGpkOF9qcEdCem55RW9QX1l2WDd4S1ZFV3VqUFlr?oc=5,해사신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"페이앱 작동, 카카오톡 누락…카카오페이증권 SOR 허점",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5uSkktVmx1M2oyM2tyQjdvQ3d1RlkwMjhKMzhMX01zVkxwTWdobTJncndFanlPU3EzdHlMcFhQZDBud2kxeW5WdlNjbVZxUmhYMG9INEgta0NtVU5Oak8xNzJFRXpCUGhu?oc=5,ebn.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
