검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,카카오톡 채팅방에 들어간 '챗GPT'...대화 중 즉시 사용,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5qQnY4Q2JqS09iYU1yTjBxeDdkcmtJNENUbXh0WnJJdWFVaXVyV2Z0Z2g4Tm42YktyM3BLM05IclNQbDBjeTFyRjZUY1dQUG5fMUpNOW1EeWNxVEh6NTVRMGV5b0Zrdw?oc=5,디일렉,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오톡 채팅방에서 바로 챗GPT 쓴다,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9SVHhGdkRuNjh3Q0Z3bGZYWGRLZkFhY2N5dmJUMGJzQ19hRjRFN3Y5TGVzeUc4Y3d5ZVAwT2hHbDFzTmVDUjloT2VNS05XZ09feVd1WDYyQlJHWUFs?oc=5,뉴스핌,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"""카톡 채팅방서 챗GPT에게 묻는다""…카카오, `챗GPT 챗봇` 오픈",https://news.google.com/rss/articles/CBMiZEFVX3lxTE8wQ25VT0pFSWx0Q3N2MHFGSms0ZTBpZFNrZU1BTGhJWmE0VWhQVmkxM1NnajVXY0o0M2dSaGtkVlpRTDVKNDFtSWRKVXdqRHl5dnd4RjRyQllGeW1xT3htenRDbXg?oc=5,디지털데일리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 카톡 채팅방서 바로 묻고 답하는 ‘챗GPT 챗봇’ 출시",https://news.google.com/rss/articles/CBMiVkFVX3lxTE1TSTZqRXQ2clNOX3hPYm84bG9tSVlZNHRjc1MySUh1cmszeU11UmF4c3VVTWd3UmxOWURfc0hEQVI3XzhLLWd0UnBONVRMSnN3VHVKa0xB?oc=5,지디넷코리아,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오톡 대화방서 챗GPT 호출… 질문·이미지 생성 지원,https://news.google.com/rss/articles/CBMidEFVX3lxTE1xZTM5V0FtOUxaeExfVnZ1S0pkMlpzdVlCN0FwSlNGbXdHQ1JLckNsWlVraERhd3ZOSVJfQ2gwTlNQSmFTUEswU2JKSDV1c1J1bS1rYWxSM0NhejQtWkNrX0dmM3pJMzR0b0JWOTRjTm5DTC1P0gF0QVVfeXFMTXFlMzlXQW05TFp4TF9WdnVLSmQyWnN1WUI3QXBKU0Ztd0dDUktyQ2xaVWtoRGF3dk5JUl9DaDBOU1BKYVNQSzBTYkpINXVzUnVtLWthbFIzQ2F6NC1aQ2tfR2YzekkzNHRvQlY5NGNObkNMLU8?oc=5,IT조선,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,"카카오톡서 ""@ChatGPT 오늘 날씨 어때?"" 가능해진다",https://news.google.com/rss/articles/CBMiT0FVX3lxTE4xLUdEaGxHRm81SWt6OGZWVFhRUTROOEEzWGxMMENFTk9uem5sT0tBU0J0ZXBDSFRPRUwzWlBId1ZDQkRQZ3Ntbi1Cbm95SFU?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,[더밸류 브리핑] 오늘의 카카오 소식...카카오뱅크· 카카오페이,https://news.google.com/rss/articles/CBMiVEFVX3lxTE03QlhiSDlLYXg0MDRSYkI3S1o4MXE2a1VheC02aktScDJsQ1VMRnFuUzhycm1idjRGa2xlS3kxc3ByVW1uWTJhcEs3VkE3RVJLZXhwaQ?oc=5,더밸류뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 카카오톡 채팅방 내 ‘ChatGPT 챗봇’ 기능 전격 도입",https://news.google.com/rss/articles/CBMia0FVX3lxTE9JNjIzSXpJRkVTaEE4dGhZeVBEc2RvUWVwcm5lQ0xqdzc4VHBYV0w2cXR6Z0pzZXUydmFGN09TQXdoTnFtQzZYajhEZ1c4VnotcngxalJPbXA1ZTFwQ3JQLUZFM01lNXdDTzRr?oc=5,BBS(불교방송),CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,“카카오톡 대화방에서 챗GPT에게 바로 묻는다”…챗GPT 챗봇 출시,https://news.google.com/rss/articles/CBMiUEFVX3lxTFB0U0o2ZjhHbk00OWV6aDFQUHg3cHUxbEFTVDBvYkR1RkxRYWFtNmxxT0hQVHVvSS14dTNMX3hBb3cyN2lkOG1GVV91eGJ3NnVM?oc=5,문화일보,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,"카카오, 카카오톡 채팅방에서 사용하는 ‘ChatGPT 챗봇’ 기능 출시",https://news.google.com/rss/articles/CBMiVkFVX3lxTE5IUFJtSlNURXZjWkl2am5MaU9ON2ZnWmJVTE1OYjItSW9ERUVfMTNlbEwxU1NSa0RWLWJCNEN3YmNlTG1peUxBRi1udURXc25HRXBHZ1Fn?oc=5,kakaocorp.com,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
